year,jobsat,ai_use,workexp_z
2024,1.0,0.024,0.094
2024,0.024,1.0,-0.126
2024,0.094,-0.126,1.0
2025,1.0,0.02,0.088
2025,0.02,1.0,-0.104
2025,0.088,-0.104,1.0
