year,test,term,coef,p,ci_lo,ci_hi,max_abs_d
2024,H1_main_ai_use,ai_use,0.14111863231946986,8.111061468404697e-08,,,
2024,H2_interaction,ai_use:C(remote3)[T.Hybrid],0.08680288911953378,0.2354051088614113,-0.05657961890875436,0.23018539714782194,0.11106375256053957
2024,H2_interaction,ai_use:C(remote3)[T.Remote],0.13123177510602554,0.07896373952431764,-0.0151819966637457,0.2776455468757968,0.13396313015437072
2024,H2_interaction_LRT,chi2(df=2),3.0893416694598272,0.2133820976400336,,,
2024,H3_random_slope,var(ai_use|country),9.705921589709954e-05,1.0,,,
2025,H1_main_ai_use,ai_use,0.1265356512099936,0.0009480665092505027,,,
2025,H2_interaction,ai_use:C(remote3)[T.Hybrid],0.1460079671968757,0.182009800679521,-0.06841732568992662,0.36043326008367804,0.1873779498297344
2025,H2_interaction,ai_use:C(remote3)[T.Remote],0.1754320473567021,0.1160946812913201,-0.04338246692593173,0.3942465616393359,0.20495642502650957
2025,H2_interaction_LRT,chi2(df=2),2.5556828717526514,0.2786381100046828,,,
2025,H3_random_slope,var(ai_use|country),0.02043908968342881,1.0,,,
2025_robust,H1_main_ai_use,ai_use,0.12943165366951934,0.00024695523043564993,,,
2025_robust,H2_interaction,ai_use:C(remote3)[T.Hybrid],0.12824843209469639,0.23259733248928616,-0.08232656992919427,0.33882343411858706,0.17685344689109184
2025_robust,H2_interaction,ai_use:C(remote3)[T.Remote],0.15138263092874288,0.14933084937667276,-0.054390790549791734,0.3571560524072775,0.18642240348740216
2025_robust,H2_interaction_LRT,chi2(df=2),2.1099029794568196,0.3482093186251099,,,
2025_robust,H3_random_slope,var(ai_use|country),0.021889322753058334,0.9104725069478721,,,
