year,min_country_n,N,countries,H2_LRT_chi2,H2_LRT_p
2024,50,27756,65,5.441,0.0658
2024,100,26576,48,3.089,0.2134
2024,200,23968,30,4.721,0.0944
2025,50,17257,53,3.891,0.1429
2025,100,16081,36,2.556,0.2786
2025,200,13467,17,3.304,0.1917
