jobsat,ai_use,remote3,country,workexp,devgroup,yourchoice,year
8.0,1.0,Remote,United States of America,15.0,Manager,0,2024
8.0,0.0,Hybrid,United States of America,12.0,Developer,0,2024
5.0,0.0,Hybrid,Switzerland,29.0,Developer,0,2024
10.0,1.0,Hybrid,Germany,12.0,Developer,0,2024
6.0,1.0,Hybrid,Germany,10.0,Other,0,2024
9.0,1.0,Remote,Ireland,18.0,Developer,0,2024
4.0,0.0,Remote,Italy,16.0,Developer,0,2024
7.0,1.0,Remote,Italy,17.0,Developer,0,2024
7.0,1.0,Remote,Ukraine,6.0,Other,0,2024
7.0,0.0,Hybrid,United States of America,7.0,Other,0,2024
6.0,0.0,Hybrid,Japan,16.0,Developer,0,2024
7.0,0.0,Remote,United States of America,6.0,Developer,0,2024
7.0,1.0,Remote,Brazil,7.0,Developer,0,2024
7.0,1.0,Remote,Italy,16.0,Research,0,2024
9.0,0.0,In-person,Austria,14.0,Research,0,2024
9.0,1.0,Hybrid,Romania,3.0,Developer,0,2024
6.0,1.0,Hybrid,United States of America,15.0,Developer,0,2024
3.0,1.0,Remote,Germany,4.0,Developer,0,2024
3.0,0.0,In-person,Bulgaria,6.0,Developer,0,2024
7.0,0.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,8.0,Developer,0,2024
6.0,0.0,Remote,Turkey,1.0,Developer,0,2024
7.0,0.0,Hybrid,Switzerland,29.0,Developer,0,2024
9.0,0.0,Hybrid,Bulgaria,9.0,DevOps/Infra,0,2024
9.0,0.0,Hybrid,Sweden,27.0,Manager,0,2024
7.0,0.0,Hybrid,Sweden,31.0,Developer,0,2024
10.0,1.0,Hybrid,Pakistan,3.0,Data/ML,0,2024
9.0,0.0,In-person,Czech Republic,1.0,Developer,0,2024
7.0,0.0,Hybrid,Switzerland,35.0,Developer,0,2024
6.0,0.0,Remote,United States of America,25.0,Data/ML,0,2024
8.0,0.0,Remote,United States of America,28.0,Developer,0,2024
8.0,1.0,Remote,United States of America,26.0,Manager,0,2024
7.0,0.0,Hybrid,Germany,10.0,Developer,0,2024
7.0,1.0,Hybrid,Finland,13.0,Developer,0,2024
4.0,0.0,Remote,Slovakia,30.0,DevOps/Infra,0,2024
2.0,0.0,Remote,Poland,5.0,Developer,0,2024
8.0,1.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,29.0,Developer,0,2024
8.0,0.0,In-person,India,3.0,Other,0,2024
4.0,1.0,Hybrid,United States of America,37.0,Other,0,2024
6.0,0.0,Hybrid,Ireland,4.0,Developer,0,2024
3.0,1.0,In-person,Greece,6.0,Developer,0,2024
7.0,1.0,Remote,India,7.0,Developer,0,2024
8.0,1.0,Hybrid,Italy,1.0,Developer,0,2024
2.0,1.0,Remote,United Kingdom of Great Britain and Northern Ireland,10.0,Developer,0,2024
7.0,1.0,In-person,Poland,7.0,Developer,0,2024
8.0,1.0,Remote,Italy,8.0,Developer,0,2024
1.0,1.0,Remote,India,2.0,Developer,0,2024
9.0,1.0,In-person,United States of America,6.0,Developer,0,2024
4.0,1.0,Hybrid,Greece,7.0,Developer,0,2024
9.0,1.0,Hybrid,Ireland,13.0,Developer,0,2024
7.0,1.0,Hybrid,United States of America,12.0,Developer,0,2024
7.0,0.0,Hybrid,Germany,24.0,Research,0,2024
8.0,1.0,Remote,Austria,8.0,Data/ML,0,2024
8.0,1.0,Hybrid,Ireland,30.0,Other,0,2024
8.0,0.0,Hybrid,Germany,8.0,Developer,0,2024
10.0,1.0,Remote,Japan,12.0,Manager,0,2024
8.0,1.0,Hybrid,India,7.0,Developer,0,2024
6.0,1.0,In-person,Sweden,20.0,Developer,0,2024
8.0,0.0,Remote,Ukraine,18.0,Developer,0,2024
8.0,1.0,Hybrid,Germany,10.0,Manager,0,2024
6.0,1.0,Remote,Ukraine,3.0,Developer,0,2024
7.0,0.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,3.0,Developer,0,2024
9.0,1.0,In-person,Italy,5.0,Developer,0,2024
10.0,0.0,Hybrid,United States of America,6.0,Developer,0,2024
3.0,1.0,Hybrid,United States of America,1.0,Developer,0,2024
9.0,0.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,23.0,Data/ML,0,2024
8.0,0.0,Remote,United States of America,6.0,Developer,0,2024
7.0,1.0,Hybrid,United States of America,9.0,Developer,0,2024
10.0,1.0,Hybrid,United Kingdom of Great Britain and Northern Ireland,15.0,Developer,0,2024
3.0,1.0,In-person,United States of America,4.0,Developer,0,2024
2.0,1.0,Remote,United States of America,3.0,Developer,0,2024
6.0,0.0,Hybrid,Netherlands,2.0,DevOps/Infra,0,2024
8.0,0.0,Hybrid,Portugal,19.0,Developer,0,2024
10.0,1.0,Remote,United States of America,16.0,Developer,0,2024
6.0,0.0,In-person,China,21.0,Developer,0,2024
6.0,1.0,In-person,United States of America,3.0,Developer,0,2024
7.0,0.0,Hybrid,United States of America,15.0,Developer,0,2024
7.0,1.0,Hybrid,Spain,2.0,Research,0,2024
6.0,1.0,Hybrid,Portugal,6.0,Developer,0,2024
9.0,1.0,Remote,United States of America,8.0,Developer,0,2024
8.0,1.0,In-person,Russian Federation,1.0,Data/ML,0,2024
7.0,0.0,Remote,Canada,8.0,Manager,0,2024
9.0,0.0,Remote,Canada,30.0,Developer,0,2024
8.0,1.0,Hybrid,Bulgaria,20.0,Developer,0,2024
10.0,1.0,Hybrid,Portugal,12.0,Manager,0,2024
